,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango,closest_metro,dist_closest_metro,closest_super,closest_super_dist
1605,1685,Buin,3.0,3.0,1.0,No,75.0,4731.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/los-ciruelos-buin/6798116,63.0,435.1,medio,PLAZA DE PUENTE ALTO,20.47522551893628,Unimarc,12.047918569536938
1606,1686,La Cisterna,2.0,1.0,2.443019943019943,No,246.0,5671.08,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/santa-inestrinidad-ramirez/5887467,23.0,794.1,crítico,EL PARRON,0.4229712777521749,Intermodal,1.0228898350797733
1607,1687,La Reina,4.0,2.0,2.443019943019943,No,690.0,16500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/reina-victoria/6261420,24.0,565.4,alto,PRINCIPE DE GALES,0.9614258069946112,Larraín,1.6099874144687052
1608,1688,La Reina,4.113060917523189,2.630757613893783,2.443019943019943,No,830.0,27900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/ppe-galesossandon/6343287,34.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1609,1689,Cerrillos,4.0,1.0,2.443019943019943,No,0.0,1984.88,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/caletera-costanera-survilla-ilusion/6400575,inf,729.4,alto,SANTIAGO BUERAS,25.61050223862771,Unimarc,10.622362163030282
1610,1691,Lo Barnechea,3.0,3.0,4.0,No,1017.0,21600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/avenida-jose-alcalde-delano/6803276,21.0,276.8,bajo,LOS DOMINICOS,5.49449948783237,Unimarc,0.2259498912360003
1611,1692,La Reina,4.0,2.0,4.0,No,690.0,16500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/reina-victoriaramon-laval/3508197,24.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1612,1693,Independencia,9.0,2.0,2.443019943019943,No,217.0,5828.61,https://chilepropiedades.cl/ver-publicacion/venta-usada/independencia/casa/independencia-region-metropolitana/5148020,27.0,561.4,alto,HOSPITALES,0.503853372523028,Express de Lider,0.1606972510540817
1613,1694,La Reina,6.0,4.0,3.0,No,294.0,12300.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/monsenor-edwards-con-echenique/5751003,42.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1614,1695,Las Condes,3.0,2.0,2.0,No,200.0,12287.33,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/padre-hurtado-con-general-blanche/6557509,61.0,465.6,medio,LOS DOMINICOS,3.176737799882761,Jumbo La Reina ,2.202075987816931
1615,1696,Providencia,3.0,2.0,2.443019943019943,No,375.0,13232.51,https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/casa/providenciadiego-de-almagro/2637745,35.0,1567.1,crítico,FRANCISCO BILBAO,1.2239970877027917,Express de Lider,0.8146396162519418
1616,1697,Conchalí,2.0,1.0,2.443019943019943,No,120.0,4700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/catorce-de-la-fama/6358369,39.0,492.1,medio,VIVACETA,0.4533231667971888,Dorsal,1.6558806329707816
1617,1698,Las Condes,6.0,5.0,4.0,No,1113.0,29980.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/quinchamali/6084432,27.0,465.6,medio,LOS DOMINICOS,5.986897083423711,Unimarc,0.8649312495253393
1618,1699,Lo Barnechea,4.0,4.0,3.0,No,890.0,26950.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/el-golf-de-manquehue/6803261,30.0,276.8,bajo,HERNANDO DE MAGALLANES,7.711506152566616,Jumbo Los Trapenses ,1.2512202544549669
1619,1700,La Reina,4.0,1.0,1.0,No,135.0,4250.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/pasaje-cordillera-con-pasaje-dos/6798042,31.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1620,1701,Puente Alto,3.0,2.0,3.0,No,149.0,3938.25,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/hacienda-los-conquistadores/6561135,26.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
