,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango
80,83,Conchalí,4.0,2.0,1.0,No,180.0,4253.31,https://chilepropiedades.cl/ver-publicacion/venta-usada/conchali/casa/casa-esquina-en-avenida-180-m2-4-dormitorios-2-banos/2672835,24.0,492.1,medio
81,84,San Miguel,3.0,1.0,2.0,No,660.0,20163.83,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-miguel/casa/san-miguel-region-metropolitana/5973194,31.0,735.9,alto
82,85,Santiago,3.0,1.0,3.0,,130.0,9150.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/ciudad-del-nino/6415539,70.0,1183.1,crítico
83,86,Ñuñoa,7.0,5.0,3.0,No,286.0,10500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/casa-habitacional-con-patente-oficina/6265360,37.0,589.1,alto
84,87,Vitacura,4.0,4.0,2.443019943019943,No,1002.0,33500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/vitacura/casa/santa-maria-de-manquehueparque-antonio-rabat/6256754,33.0,593.7,alto
85,88,La Cisterna,3.0,1.0,2.0,,143.5,4095.78,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/avenida-fernandez-albano/6607821,29.0,794.1,crítico
86,89,Santiago,4.0,3.0,2.0,,220.0,6931.32,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-castanos/6797559,32.0,1183.1,crítico
87,90,Puente Alto,4.0,3.0,2.443019943019943,No,253.0,7990.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-vizcachas-monte-andino/5484965,32.0,369.1,medio
88,91,Puente Alto,3.0,1.0,1.0,No,75.0,3119.09,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/puente-alto-region-metropolitana/6518105,42.0,369.1,medio
89,92,Peñaflor,3.0,2.0,2.0,No,100.0,2205.42,https://chilepropiedades.cl/ver-publicacion/venta-usada/penaflor/casa/psje-las-taguas-con-21-de-mayo/6028173,22.0,284.4,bajo
90,93,Buin,3.0,2.0,1.0,,156.0,4100.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/detective-vicente-bourguett-chaverini/6828968,26.0,435.1,medio
91,94,La Florida,4.0,2.0,4.0,No,485.0,9900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/los-tulipanes-las-magnolias/6398346,20.0,541.5,alto
92,95,Las Condes,5.0,5.0,4.0,No,504.0,29615.63,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/las-condes-region-metropolitana/6599873,59.0,465.6,medio
93,96,Colina,3.0,3.0,3.0,,210.0,5750.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/estancia-liray-colina/6515754,27.0,421.3,medio
94,97,Las Condes,5.0,4.0,2.443019943019943,No,585.0,34000.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/cuarto-centenario/5896803,58.0,465.6,medio
95,98,La Cisterna,6.0,3.0,2.0,No,200.0,9451.8,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-cisterna/casa/yc-56608-gral-freireyc-56608-fernando-rioja/6426499,47.0,794.1,crítico
96,99,La Florida,5.0,5.0,3.0,,192.0,8199.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/de-los-barbechos-9071/6071840,43.0,541.5,alto
97,100,Lo Barnechea,4.0,5.0,2.443019943019943,No,1003.0,31800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/las-lomas-de-la-dehesa/6361260,32.0,276.8,bajo
98,101,Santiago,5.0,3.0,2.0,,140.0,5356.02,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/av-san-carlos/6797785,38.0,1183.1,crítico
99,102,El Bosque,2.0,1.0,2.443019943019943,No,91.0,2583.49,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/francisco-de-camargo-esquina-lo-blanco/6285221,28.0,408.1,medio
100,103,Las Condes,3.0,3.0,1.0,No,204.0,16800.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/las-condes-region-metropolitana/6519248,82.0,465.6,medio
101,104,Maipú,4.0,3.0,1.0,,134.0,5828.61,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/avenida-el-rosal/6594454,43.0,370.9,medio
102,105,La Reina,5.0,4.0,2.0,No,500.0,17840.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/alvaro-casanova-talinay/4702081,36.0,565.4,alto
103,106,El Bosque,5.0,1.0,1.0,,149.0,3087.59,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/av-lo-martinez-960/6834560,21.0,408.1,medio
104,107,Macul,2.0,1.0,1.0,No,176.0,2804.03,https://chilepropiedades.cl/ver-publicacion/venta-usada/macul/casa/americo-vespuciosan-vicente-de-paul/4573014,16.0,501.9,medio
105,108,Puente Alto,2.0,1.0,2.0,No,0.0,2362.95,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/puente-alto-region-metropolitana/6626102,inf,369.1,medio
106,109,Santiago,3.0,3.0,2.0,,141.0,4410.84,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/pukara-de-lasana/6790090,31.0,1183.1,crítico
107,110,La Florida,4.0,3.0,2.443019943019943,No,121.0,5198.49,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/santa-martatrinidad-oriente/6725201,43.0,541.5,alto
108,111,Las Condes,2.0,1.0,2.443019943019943,No,312.0,6700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/casa-en-alejandro-fleming/5896871,21.0,465.6,medio
109,112,El Bosque,3.0,1.0,1.0,,126.0,2400.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/pje-uno-158/6594013,19.0,408.1,medio
110,113,Maipú,5.0,2.0,1.0,No,140.0,2741.02,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/las-tinajassan-jose/6713736,20.0,370.9,medio
111,114,Ñuñoa,3.0,2.630757613893783,2.443019943019943,No,45.0,6100.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/nunoa-region-metropolitana/6724223,136.0,589.1,alto
112,115,Puente Alto,3.0,1.0,1.0,,157.0,3150.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/lomas-del-viento-216/6819119,20.0,369.1,medio
113,116,San Bernardo,3.0,3.0,2.0,No,163.0,4890.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/a-5-minutos-del-mall-plaza-sur/6558073,30.0,598.2,alto
114,117,Santiago,3.0,2.0,1.0,,1125.9585436648158,4347.83,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/portezuelo-del-volcan/6789949,4.0,1183.1,crítico
115,118,Maipú,3.0,2.0,1.0,,152.0,4410.84,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/german-garces/6830894,29.0,370.9,medio
116,119,Las Condes,5.0,4.0,2.443019943019943,No,900.0,29700.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/camino-san-antonio-230/6186893,33.0,465.6,medio
117,120,La Florida,3.0,2.0,2.0,,223.0,5513.55,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/p-los-sauces-8426/6457718,25.0,541.5,alto
118,121,Santiago,3.0,2.0,1.0,,1125.9585436648158,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/pie-andino/6791067,4.0,1183.1,crítico
119,122,Pudahuel,3.0,3.0,6.0,No,510.0,9924.39,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/pudahuel-region-metropolitana/6618683,19.0,471.9,medio
120,123,Las Condes,3.0,2.0,2.0,No,290.0,11499.68,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/los-dominicos-excelente-sector/5172676,40.0,465.6,medio
121,124,Cerrillos,6.0,3.0,2.443019943019943,No,125.0,5198.49,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/diputado-angel-fantuzzi/6624576,42.0,729.4,alto
122,125,Santiago,4.0,3.0,1.0,,128.0,4600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/ciudad-del-sol/6666775,36.0,1183.1,crítico
123,126,Maipú,5.0,1.0,2.443019943019943,No,61.0,2110.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/inca-de-oroagua-santa/5111303,35.0,370.9,medio
124,127,Quilicura,4.0,2.0,1.0,No,68.0,2205.42,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/san-ignasio-de-loyola-2/6714362,32.0,409.6,medio
125,128,Santiago,4.0,1.0,1.0,,105.0,2110.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/cerrillos/5043539,20.0,1183.1,crítico
126,129,Santiago,4.0,3.0,2.0,,130.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/santa-teresita/6790850,36.0,1183.1,crítico
127,130,Las Condes,5.0,1.0,2.0,No,160.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/las-condes-region-metropolitana/6623397,30.0,465.6,medio
128,131,Santiago,3.0,2.0,2.0,,156.0,4600.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/alto-pinar/6666772,29.0,1183.1,crítico
129,132,Padre Hurtado,3.0,1.0,2.443019943019943,No,325.0,3780.72,https://chilepropiedades.cl/ver-publicacion/venta-usada/padre-hurtado/casa/rio-tolten-630/6039397,12.0,318.8,medio
130,133,Santiago,5.0,5.0,2.443019943019943,No,189.0,10081.92,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/virreinato-19/6342739,53.0,1183.1,crítico
131,134,La Reina,3.0,2.0,1.0,No,123.0,7561.44,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/bramantejulio-montebruno/6508640,61.0,565.4,alto
132,135,Lampa,5.0,2.0,2.0,No,700.0,3938.25,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/lampa-region-metropolitana/5874058,6.0,394.9,medio
