,Codigo_Aviso,Comuna,Link,Tipo_Vivienda,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Superficie_Construida_M2,anoConstruccion,Valor_UF,Valor_CLP,Dirección,tipoPublicacion,Quién_Vende,Corredor,fechaPublicacion
50,5900349,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/5900349,Casa,3.0,1.0,1.0,No,253.0,80.0,,4725.9,150000000.0,"Maipú, Maipú, Región Metropolitana",Venta Usada,                      Agente Propiedades                  ,Agente Propiedades,31/03/2022
51,6400375,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/roncesvalles/6400375,Casa,4.0,4.0,5.0,No,580.0,400.0,,18000.0,571320000.0,"Las Condes, Roncesvalles",Venta Usada,                      Andrea Baeza                  ,Unne,03/04/2022
52,6689153,Cerro Navia,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/serrano-1692/6689153,Casa,4.0,1.0,,,74.4,75.74,1987.0,1600.0,50784000.0,"Cerro Navia, Serrano 1692",Venta Usada,                      Alejandro Navarro                  ,Ambiento Propiedades,03/04/2022
53,6618228,Quinta Normal,https://chilepropiedades.cl/ver-publicacion/venta-usada/quinta-normal/casa/casa-2-pisos-en-q-normal/6618228,Casa,3.0,2.0,,No,205.0,96.0,,3780.72,120000000.0,"Quinta Normal, Casa 2 Pisos en Q. Normal",Venta Usada,                      Corretajes Prosal Ltda.                  ,Corretajes Prosal,02/04/2022
54,6604189,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/maipu-region-metropolitana/6604189,Casa,3.0,2.0,,No,90.0,75.0,,2900.0,92046000.0,"Maipú, Maipú, Región Metropolitana",Venta Usada,                      Amanda Soto Villar                  ,EK Propiedades,01/04/2022
55,6452882,Buin,https://chilepropiedades.cl/ver-publicacion/venta-usada/buin/casa/tulio-parra-perez/6452882,Casa,3.0,2.0,1.0,,155.0,69.7,2016.0,3600.0,114264000.0,"Buin, Tulio Parra Pérez",Venta Usada,                      Alejandro Navarro                  ,Ambiento Propiedades,03/03/2022
56,6512394,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-castanuelas-3535/6512394,Casa,3.0,1.0,1.0,No,65.0,55.0,,1827.35,58000000.0,"Puente Alto, Las castañuelas 3535",Venta Usada,                      Delacarrera Prop.                  ,Unne,01/04/2022
57,6729279,La Reina,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/julia-bernsteinmaria-monvel/6729279,Casa,4.0,3.0,,No,2005.0,313.0,,32390.0,1028058600.0,"La Reina, Julia bernstein/maria monvel",Venta Usada,                      Mauricio Pino Propiedades                  ,Mauricio Pino Propiedades,02/04/2022
58,6456667,Pudahuel,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/pudahuel-region-metropolitana/6456667,Casa,5.0,4.0,2.0,No,100.0,134.0,,3465.66,110000000.0,"Pudahuel, Pudahuel, Región Metropolitana",Venta Usada,                      Agente Propiedades                  ,Agente Propiedades,31/03/2022
59,6623708,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/bocacciolas-condes/6623708,Casa,3.0,1.0,,No,160.0,77.0,,9136.74,290000000.0,"Las Condes, Bocaccio/Las Condes",Venta Usada,                      Vivaqui Propiedades                  ,Vivaqui Propiedades,03/04/2022
